%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
7.0, 53713.6782662485, 50246.14039017444, 17545.80647299367, -30075.121530904955, 1850.5679786882376, -17153.801578736493, 20250.4793108081, 7071.06376541421, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687804580786579E9, 0.0, 2023-06-26 13:36:20.786
8.0, 53754.40314464607, 50283.13252724797, 17546.342914860597, -30130.68796762085, 2011.612297488725, -17196.515762390587, 20242.38797931528, 7003.226220992354, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687804580786606E9, 0.0, 2023-06-26 13:36:20.786
9.0, 53769.33410994222, 50238.36198310399, 17412.031282428656, -30319.20258035691, 1950.3685176811837, -17409.282017860653, 20082.34948901528, 6804.2509918512105, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6878045807866173E9, 0.0, 2023-06-26 13:36:20.786
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.9400000000000001, 0.266, 192.0, 0.0, 16.0, 29.0, 96.0, 8.0, 80.0, 0.0, 0.0, 0.0, 1.6878045808597689E9, 0.0, 2023-06-26 13:36:20.859
1.0, 54109.50530880753, 49886.99256026657, 16938.21900346506, -29609.84761832328, -679.8506593526196, -17070.161350984734, 20068.424352219627, 6334.909061778672, 0.002, 0.9400000000000001, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6878045808728259E9, 0.0, 2023-06-26 13:36:20.872
2.0, 54132.415846874224, 49947.38697378481, 17113.47903173912, -29413.554598516777, -553.6080066690454, -16872.52722651091, 20257.117778911328, 6536.1194653653465, 0.002, 0.9400000000000001, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687804580875844E9, 0.0, 2023-06-26 13:36:20.875
3.0, 54173.90068458327, 49978.813526488964, 17096.089374552892, -29488.45529418651, -411.38385669992647, -16917.45423286608, 20245.494871794566, 6458.223635938602, 0.002, 0.9400000000000001, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6878045808798568E9, 0.0, 2023-06-26 13:36:20.879
4.0, 54160.24376872108, 49926.64455493028, 16925.88084052573, -29689.889215217736, -513.5536806051351, -17111.42267124923, 20065.697439396077, 6251.894682871662, 0.002, 0.9400000000000001, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6878045808828704E9, 0.0, 2023-06-26 13:36:20.882
5.0, 54107.314837850914, 49885.76321432152, 16917.83421252182, -29646.48212748553, -673.9274470719632, -17097.65399666476, 20052.286392722894, 6296.106433404259, 0.002, 0.9400000000000001, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6878045808858795E9, 0.0, 2023-06-26 13:36:20.885
6.0, 54121.41878860221, 49939.250938803074, 17090.702604139162, -29431.525401058843, -599.4961380357908, -16896.376537844724, 20212.32488302289, 6507.956267351659, 0.002, 0.9400000000000001, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6878045808899002E9, 0.0, 2023-06-26 13:36:20.889
7.0, 54163.730640856105, 49980.37814860084, 17114.238991050603, -29449.87618325665, -442.22926404825023, -16890.363918586245, 20229.938057653675, 6481.804726338951, 0.002, 0.9400000000000001, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6878045808939161E9, 0.0, 2023-06-26 13:36:20.893
8.0, 54151.30307093896, 49929.30441252046, 16940.16360523267, -29665.659924228185, -502.84719501104297, -17092.58015067341, 20081.7906954039, 6261.774153920907, 0.004, 0.9420000000000001, 0.228, 192.0, 0.0, 32.0, 29.0, 112.0, 7.0, 32.0, 0.0, 0.0, 0.0, 1.6878045808979497E9, 0.0, 2023-06-26 13:36:20.897
9.0, 54112.41103558672, 49888.89245854527, 16905.808974004864, -29655.646342712207, -663.0197957777734, -17111.42267124923, 20045.24559321947, 6271.139534847682, 0.004, 0.9420000000000001, 0.228, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687804580901959E9, 0.0, 2023-06-26 13:36:20.901
10.0, 54112.7239600091, 49930.39964799877, 17073.46940916412, -29433.894685971107, -621.065571435162, -16913.63208456422, 20215.677644691186, 6494.2099445116455, 0.004, 0.9420000000000001, 0.228, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6878045809049633E9, 0.0, 2023-06-26 13:36:20.904
11.0, 54161.24959722157, 49986.50252658159, 17141.3963605638, -29395.829665163717, -448.1301245844513, -16858.87031064872, 20284.900997269273, 6528.00578212807, 0.004, 0.9420000000000001, 0.228, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.68780458090899E9, 0.0, 2023-06-26 13:36:20.908
